imdb_id,titulo,anio,genero,rating_imdb,plataformas,poster_url
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",7.8,Disney Plus,https://image.tmdb.org/t/p/w500/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",6.5,Disney Plus,https://image.tmdb.org/t/p/w500/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg
tt4881806,Jurassic World: Fallen Kingdom,2018,"Action, Adventure, Sci-Fi",6.1,HBO Max,https://image.tmdb.org/t/p/w500/x2Us3jR6ToMJjbcPbLimYoxf6xr.jpg
tt2704998,Game Night,2018,"Action, Adventure, Comedy",6.9,HBO Max,https://image.tmdb.org/t/p/w500/85R8LMyn9f2Lev2YPBF8Nughrkv.jpg
tt1502397,Bad Boys for Life,2020,"Action, Comedy, Crime",6.5,"Netflix, Amazon Prime Video",https://image.tmdb.org/t/p/w500/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg
tt1515091,Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Mystery",7.4,"Netflix, HBO Max",https://image.tmdb.org/t/p/w500/vskIKrMNUAhns05dx8WYBQfcJEs.jpg
tt0399295,Lord of War,2005,"Crime, Drama",7.6,Amazon Prime Video,https://image.tmdb.org/t/p/w500/3MGQD4yXokufNlW1AyRXdiy7ytP.jpg
tt1345836,The Dark Knight Rises,2012,"Action, Crime, Drama",8.4,HBO Max,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg
tt0407304,War of the Worlds,2005,"Action, Adventure, Sci-Fi",6.6,"Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/6Biy7R9LfumYshur3YKhpj56MpB.jpg
tt4209788,Molly's Game,2017,"Biography, Crime, Drama",7.4,Amazon Prime Video,https://image.tmdb.org/t/p/w500/zrGQwKNmAz5awZI2V1k5M4eTTTN.jpg
tt5442430,Life,2017,"Horror, Sci-Fi, Thriller",6.6,HBO Max,https://image.tmdb.org/t/p/w500/wztfli5NgYDgurVgShNflvnyA3Z.jpg
tt0272338,Punch-Drunk Love,2002,"Comedy, Drama, Romance",7.3,HBO Max,https://image.tmdb.org/t/p/w500/htYp4yqFu4rzBEIa6j9jP8miDm3.jpg
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",6.6,Disney Plus,https://image.tmdb.org/t/p/w500/oZNPzxqM2s5DyVWab09NTQScDQt.jpg
tt0266987,Spy Game,2001,"Action, Crime, Thriller",7.1,No disponible en streaming,https://image.tmdb.org/t/p/w500/6y8M1rxjKofQCRKKe6xeV91K2Fc.jpg
tt0143145,The World Is Not Enough,1999,"Action, Adventure, Thriller",6.4,No disponible en streaming,https://image.tmdb.org/t/p/w500/wCb2msgoZPK01WIqry24M4xsM73.jpg
tt0079470,Monty Python's Life of Brian,1979,Comedy,8.0,No disponible en streaming,https://image.tmdb.org/t/p/w500/lSSA64WF0M0BXnjwr2quMh6shCl.jpg
tt6450804,Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",6.2,Disney Plus,https://image.tmdb.org/t/p/w500/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",7.8,Disney Plus,https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
tt12747748,Leave the World Behind,2023,"Drama, Mystery, Thriller",6.4,Netflix,https://image.tmdb.org/t/p/w500/29rhl1xopxA7JlGVVsf1UHfYPvN.jpg
tt1731141,Ender's Game,2013,"Action, Adventure, Sci-Fi",6.6,Amazon Prime Video,https://image.tmdb.org/t/p/w500/wgDlp3CT8SyLKJ52oFxrQONcw86.jpg
tt0431308,P.S. I Love You,2007,"Comedy, Drama, Romance",7.0,Netflix,https://image.tmdb.org/t/p/w500/x6M9nlTpgpI4AOw0tMkOAVbhL5z.jpg
tt2005151,War Dogs,2016,"Biography, Comedy, Crime",7.1,"Netflix, HBO Max",https://image.tmdb.org/t/p/w500/mDcPRjZC1bb6LavFU3gwsWdVfCM.jpg
