imdb_id,titulo,anio,genero,rating_imdb,plataformas,poster_url,budget,revenue
tt17279496,Civil War,2024,"Action, Thriller, War",7.0,Netflix,https://image.tmdb.org/t/p/w500/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg,,
tt0038650,It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,No disponible en streaming,https://image.tmdb.org/t/p/w500/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg,3180000.0,9644124.0
tt3498820,Captain America: Civil War,2016,"Action, Sci-Fi",7.8,Disney Plus,https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,250000000.0,1153304495.0
tt0816711,World War Z,2013,"Action, Adventure, Horror",7.0,"Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/aCnVdvExw6UWSeQfr0tUH3jr4qG.jpg,200000000.0,531865000.0
tt0407304,War of the Worlds,2005,"Action, Adventure, Sci-Fi",6.6,"Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/6Biy7R9LfumYshur3YKhpj56MpB.jpg,132000000.0,591739379.0
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",6.6,Disney Plus,https://image.tmdb.org/t/p/w500/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,120000000.0,649398328.0
tt1502397,Bad Boys for Life,2020,"Action, Comedy, Crime",6.5,"Netflix, Amazon Prime Video",https://image.tmdb.org/t/p/w500/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,,
tt0492956,The Game Plan,2007,"Comedy, Family, Sport",6.4,Disney Plus,https://image.tmdb.org/t/p/w500/fcLFvIqCUrhY96mkSmr3okxaMEw.jpg,22000000.0,147880543.0
tt1345836,The Dark Knight Rises,2012,"Action, Crime, Drama",8.4,HBO Max,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,250000000.0,1084939099.0
tt4154756,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4,Disney Plus,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,,
tt1981115,Thor: The Dark World,2013,"Action, Adventure, Fantasy",6.7,Disney Plus,https://image.tmdb.org/t/p/w500/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,170000000.0,644571402.0
tt0468569,The Dark Knight,2008,"Action, Crime, Drama",9.1,"Netflix, Amazon Prime Video, HBO Max",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,185000000.0,1004558444.0
tt0796366,Star Trek,2009,"Action, Adventure, Sci-Fi",7.9,"Paramount Plus, Claro video",https://image.tmdb.org/t/p/w500/hN2ZtF3Uw6mhIHZiqL0SKzELtKn.jpg,150000000.0,385680446.0
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",6.8,Disney Plus,https://image.tmdb.org/t/p/w500/ySaaKHOLAQU5HoZqWmzDIj1VvZ1.jpg,,
tt3748528,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",7.8,Disney Plus,https://image.tmdb.org/t/p/w500/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg,200000000.0,1056057273.0
tt5442430,Life,2017,"Horror, Sci-Fi, Thriller",6.6,HBO Max,https://image.tmdb.org/t/p/w500/wztfli5NgYDgurVgShNflvnyA3Z.jpg,80000000.0,73345029.0
tt0399295,Lord of War,2005,"Crime, Drama",7.6,Amazon Prime Video,https://image.tmdb.org/t/p/w500/3MGQD4yXokufNlW1AyRXdiy7ytP.jpg,42000000.0,24127895.0
tt1648190,The Dark Tower,2017,"Action, Adventure, Drama",5.6,Netflix,https://image.tmdb.org/t/p/w500/i9GUSgddIqrroubiLsvvMRYyRy0.jpg,,
tt0119567,The Lost World: Jurassic Park,1997,"Action, Adventure, Sci-Fi",6.6,"Amazon Prime Video, HBO Max",https://image.tmdb.org/t/p/w500/6fSkhv35nPSw9hwPVCMINQFG1WD.jpg,73000000.0,229074524.0
tt0311113,Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",7.5,No disponible en streaming,https://image.tmdb.org/t/p/w500/s1cVTQEZYn4nSjZLnFbzLP0j8y2.jpg,150000000.0,212011111.0
tt8041270,Jurassic World: Dominion,2022,"Action, Adventure, Sci-Fi",5.6,No disponible en streaming,https://image.tmdb.org/t/p/w500/jbAvCACjLf1ZG0unB2tdmx5HAf1.jpg,,
tt0119174,The Game,1997,"Drama, Mystery, Thriller",7.7,No disponible en streaming,https://image.tmdb.org/t/p/w500/4UOa079915QjiTA2u5hT2yKVgUu.jpg,50000000.0,109423648.0
tt0359950,The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama",7.3,Disney Plus,https://image.tmdb.org/t/p/w500/tY6ypjKOOtujhxiSwTmvA4OZ5IE.jpg,,
tt0325710,The Last Samurai,2003,"Action, Drama",7.8,"Amazon Prime Video, HBO Max",https://image.tmdb.org/t/p/w500/a8jmJPs5eZBARmnuEEvZwbjwyz4.jpg,140000000.0,456758981.0
